elapsed_time_seconds,event_type,event_value,task_phase
0.00052,instruction_display,welcome_message,start_experiment
23.219424,key_press,right,start_experiment
23.23172,instruction_display,instruction_message,phase0
24.730796,key_press,right,phase0
24.731635,information_display,counter_starts,phase0a
28.122989,key_press,d,phase0a
28.702928,key_press,d,phase0a
29.138944,key_press,d,phase0a
29.651721,key_press,d,phase0a
29.983485,key_press,d,phase0a
29.996104,instruction_display,instruction_message,phase1a
33.762923,key_press,right,phase1a
34.185863,information_display,tone_start,phase1b
39.675447,information_display,tone_end,phase1b
39.763994,instruction_display,instruction_message,phase1c
43.451,key_press,right,phase1c
43.874879,information_display,tone_start,phase1d
49.400626,information_display,tone_end,phase1d
49.485629,instruction_display,instruction_message,phase2a
50.867077,key_press,right,phase2a
51.290268,information_display,tone_start,phase2b
53.725612,key_press,D,phase2b
54.995613,key_press,F,phase2b
55.442575,key_press,D,phase2b
55.685582,key_press,F,phase2b
55.960637,key_press,D,phase2b
56.23662,key_press,F,phase2b
56.547757,key_press,D,phase2b
56.857531,key_press,F,phase2b
57.303642,key_press,D,phase2b
57.713583,key_press,F,phase2b
61.761133,information_display,tone_end,phase2b
61.849651,instruction_display,instruction_message,phase3a
93.779081,key_press,right,phase3a
96.833427,key_press,D,phase3b
97.064665,key_press,F,phase3b
97.065251,tic_mimicked_count,1,phase3b
97.359391,key_press,D,phase3b
97.459325,key_press,F,phase3b
97.459994,tic_mimicked_count,2,phase3b
97.660603,key_press,D,phase3b
97.82859,key_press,F,phase3b
97.829272,tic_mimicked_count,3,phase3b
97.999633,key_press,D,phase3b
98.162415,key_press,F,phase3b
98.162812,tic_mimicked_count,4,phase3b
98.362313,key_press,D,phase3b
98.52739,key_press,F,phase3b
98.527762,tic_mimicked_count,5,phase3b
98.62303,instruction_display,instruction_message,phase4a
100.106987,key_press,right,phase4a
101.36845,key_press,s,phase4b
103.080417,key_press,t,phase4b
103.925552,key_press,s,phase4b
104.565557,key_press,t,phase4b
110.211281,information_display,suppression_phase_end,phase4b
110.246687,instruction_display,instruction_message,end_experiment
111.69064,key_press,End of experiment,end_experiment
