elapsed_time_seconds,event_type,event_value,task_phase
0.000798,instruction_display,welcome_message,start_experiment
8.932419,key_press,right,start_experiment
8.960368,instruction_display,instruction_message,phase0
15.491718,key_press,right,phase0
15.492859,information_display,counter_starts,phase0a
19.437076,key_press,d,phase0a
21.11759,key_press,d,phase0a
21.6277,key_press,d,phase0a
22.277963,key_press,d,phase0a
22.86083,key_press,d,phase0a
22.875978,instruction_display,instruction_message,phase1a
25.13199,key_press,right,phase1a
25.555341,information_display,tone_start,phase1b
31.075361,information_display,tone_end,phase1b
31.143323,instruction_display,instruction_message,phase1c
110.444118,key_press,right,phase1c
110.867526,information_display,tone_start,phase1d
116.372776,information_display,tone_end,phase1d
116.462165,instruction_display,instruction_message,phase2a
121.035721,key_press,right,phase2a
121.458423,information_display,tone_start,phase2b
131.929335,information_display,tone_end,phase2b
132.01852,instruction_display,instruction_message,phase3a
134.356166,key_press,right,phase3a
138.584847,key_press,D,phase3b
139.532796,key_press,F,phase3b
139.533394,tic_mimicked_count,1,phase3b
140.659804,key_press,D,phase3b
141.640876,key_press,F,phase3b
141.641488,tic_mimicked_count,2,phase3b
142.732885,key_press,D,phase3b
143.821928,key_press,F,phase3b
143.82254,tic_mimicked_count,3,phase3b
144.835747,key_press,D,phase3b
145.635849,key_press,F,phase3b
145.636613,tic_mimicked_count,4,phase3b
146.072933,key_press,D,phase3b
146.436829,key_press,F,phase3b
146.437431,tic_mimicked_count,5,phase3b
146.554541,instruction_display,instruction_message,phase4a
148.499798,key_press,right,phase4a
151.925794,key_press,s,phase4b
152.545925,key_press,t,phase4b
153.453905,key_press,s,phase4b
153.85584,key_press,t,phase4b
154.220791,key_press,s,phase4b
154.585833,key_press,t,phase4b
154.913842,key_press,s,phase4b
155.245823,key_press,t,phase4b
155.540827,key_press,s,phase4b
155.868693,key_press,t,phase4b
156.181903,key_press,s,phase4b
156.439794,key_press,t,phase4b
156.7678,key_press,s,phase4b
156.985846,key_press,t,phase4b
157.314832,key_press,s,phase4b
157.533749,key_press,t,phase4b
157.828853,key_press,s,phase4b
158.084784,key_press,t,phase4b
158.377828,key_press,s,phase4b
158.611294,information_display,suppression_phase_end,phase4b
158.643755,instruction_display,instruction_message,end_experiment
160.267545,key_press,End of experiment,end_experiment
