elapsed_time_seconds,event_type,event_value,task_phase
0.000436,instruction_display,welcome_message,start_experiment
8.982362,key_press,right,start_experiment
8.994795,instruction_display,instruction_message,phase0
15.069681,key_press,right,phase0
15.07054,information_display,counter_starts,phase0a
18.093708,key_press,d,phase0a
18.882201,key_press,d,phase0a
19.247205,key_press,d,phase0a
19.551911,key_press,d,phase0a
19.888683,key_press,d,phase0a
19.902177,instruction_display,instruction_message,phase1a
23.053635,key_press,right,phase1a
23.477383,information_display,tone_start,phase1b
29.008503,information_display,tone_end,phase1b
29.092615,instruction_display,instruction_message,phase1c
34.597852,key_press,right,phase1c
35.021168,information_display,tone_start,phase1d
40.519806,information_display,tone_end,phase1d
40.613685,instruction_display,instruction_message,phase2a
46.069679,key_press,right,phase2a
46.492228,information_display,tone_start,phase2b
56.955477,information_display,tone_end,phase2b
57.04168,instruction_display,instruction_message,phase3a
73.334032,key_press,right,phase3a
