elapsed_time_seconds,event_type,event_value,task_phase
0.000485,instruction_display,welcome_message,start_experiment
5.830995,key_press,right,start_experiment
5.859614,instruction_display,instruction_message,phase0
7.686433,key_press,right,phase0
7.687455,information_display,counter_starts,phase0a
10.298431,key_press,d,phase0a
10.689856,key_press,d,phase0a
11.494581,key_press,d,phase0a
11.801277,key_press,d,phase0a
12.446972,key_press,d,phase0a
12.4596,instruction_display,instruction_message,phase1a
16.87049,key_press,right,phase1a
17.29488,information_display,tone_start,phase1b
22.814709,information_display,tone_end,phase1b
22.901469,instruction_display,instruction_message,phase1c
26.158225,key_press,right,phase1c
26.580848,information_display,tone_start,phase1d
32.062233,information_display,tone_end,phase1d
32.146283,instruction_display,instruction_message,phase2a
52.478608,key_press,right,phase2a
52.901914,information_display,tone_start,phase2b
54.635108,key_press,D,phase2b
55.539136,key_press,F,phase2b
56.655125,key_press,D,phase2b
58.486054,key_press,F,phase2b
62.288143,key_press,D,phase2b
63.376357,information_display,tone_end,phase2b
63.464797,instruction_display,instruction_message,phase3a
80.686558,key_press,right,phase3a
84.063094,key_press,D,phase3b
84.461095,key_press,F,phase3b
84.46168,tic_mimicked_count,1,phase3b
85.145121,key_press,D,phase3b
85.290098,key_press,F,phase3b
85.29085,tic_mimicked_count,2,phase3b
85.50817,key_press,D,phase3b
85.653085,key_press,F,phase3b
85.653697,tic_mimicked_count,3,phase3b
85.799038,key_press,D,phase3b
85.979986,key_press,F,phase3b
85.980573,tic_mimicked_count,4,phase3b
86.703012,key_press,D,phase3b
87.0179,key_press,F,phase3b
87.018418,tic_mimicked_count,5,phase3b
87.128244,instruction_display,instruction_message,phase4a
89.222554,key_press,right,phase4a
93.324065,key_press,s,phase4b
94.693111,key_press,t,phase4b
95.521128,key_press,t,phase4b
96.631135,key_press,s,phase4b
97.329168,key_press,t,phase4b
98.149774,key_press,s,phase4b
99.324225,information_display,suppression_phase_end,phase4b
99.353551,instruction_display,instruction_message,end_experiment
101.437891,key_press,End of experiment,end_experiment
